sample_id,split,candidate_id,mixed_path,spk1_path,spk2_path,reference_path,reference_text,reference_spk1,reference_spk2,overlap_ratio,dominance_type,intended_family,expected_winner,route_stress_transform,reference_type,source_utterance_ids,sample_rate
controlled_route_sensitive_v2_0001,dev,controlled_route_sensitive_v2_candidate_0001,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0001_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0001.json,"[SPEAKER_1] 他让你在那个时间段里拥有了自己
[SPEAKER_2] 既然你是晚睡晚起",他让你在那个时间段里拥有了自己,既然你是晚睡晚起,0.0,balanced,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_001|pro_006,16000
controlled_route_sensitive_v2_0002,train,controlled_route_sensitive_v2_candidate_0002,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0002_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0002.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 我的意思是2点睡10点起",哪怕自己是刷抖音的自己,我的意思是2点睡10点起,0.55,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_002|pro_011,16000
controlled_route_sensitive_v2_0003,train,controlled_route_sensitive_v2_candidate_0003,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0003_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0003.json,"[SPEAKER_1] 我往这里再稍微解释一下
[SPEAKER_2] 没问题没问题 先不着急",我往这里再稍微解释一下,没问题没问题 先不着急,0.25,balanced,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_003|pro_002,16000
controlled_route_sensitive_v2_0004,dev,controlled_route_sensitive_v2_candidate_0004,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0004_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0004_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0004_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0004.json,"[SPEAKER_1] 其实不落分也是一种
[SPEAKER_2] 上班的時間必定也晚",其实不落分也是一种,上班的時間必定也晚,0.3,balanced,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_004|pro_007,16000
controlled_route_sensitive_v2_0005,train,controlled_route_sensitive_v2_candidate_0005,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0005_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0005.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 跟8点睡6点起午",刚觉得晚睡晚起少夜,跟8点睡6点起午,0.05,balanced,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_005|pro_012,16000
controlled_route_sensitive_v2_0006,train,controlled_route_sensitive_v2_candidate_0006,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0006_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0006_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0006_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0006.json,"[SPEAKER_1] 晚睡早起也算好夜了
[SPEAKER_2] 因為有一個前提性的問題沒有討論",晚睡早起也算好夜了,因為有一個前提性的問題沒有討論,0.65,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_006|pro_003,16000
controlled_route_sensitive_v2_0007,train,controlled_route_sensitive_v2_candidate_0007,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0007_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0007.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 你下班的時間必定也晚",因为你可以早睡早起,你下班的時間必定也晚,0.35,balanced,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_007|pro_008,16000
controlled_route_sensitive_v2_0008,dev,controlled_route_sensitive_v2_candidate_0008,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0008_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0008_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0008_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0008.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 我的个人可以支配的",因为你可以为了身体建立方式,我的个人可以支配的,0.5,speaker_A_dominant,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_008|pro_013,16000
controlled_route_sensitive_v2_0009,train,controlled_route_sensitive_v2_candidate_0009,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0009_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0009.json,"[SPEAKER_1] 總睡晚睡
[SPEAKER_2] 只在讲的熬夜所谓的熬夜就是晚睡晚起是吧",總睡晚睡,只在讲的熬夜所谓的熬夜就是晚睡晚起是吧,0.1,speaker_A_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_009|pro_004,16000
controlled_route_sensitive_v2_0010,dev,controlled_route_sensitive_v2_candidate_0010,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0010_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0010_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0010_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0010.json,"[SPEAKER_1] 哦不太一致我可以給你擠我
[SPEAKER_2] 那你个人的生活空间必定也就这么点",哦不太一致我可以給你擠我,那你个人的生活空间必定也就这么点,0.75,speaker_A_dominant,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_010|pro_009,16000
controlled_route_sensitive_v2_0011,train,controlled_route_sensitive_v2_candidate_0011,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0011_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0011_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0011_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0011.json,"[SPEAKER_1] 你没有多两个小时但是你自己的是不是多两个我可以给你解释
[SPEAKER_2] 日常時間是一致的沒錯吧",你没有多两个小时但是你自己的是不是多两个我可以给你解释,日常時間是一致的沒錯吧,0.45,speaker_A_dominant,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_011|pro_014,16000
controlled_route_sensitive_v2_0012,train,controlled_route_sensitive_v2_candidate_0012,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0012_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0012_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0012_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0012.json,"[SPEAKER_1] 他让你在那个时间段里拥有了自己
[SPEAKER_2] 好我先聊完 都帅玩起",他让你在那个时间段里拥有了自己,好我先聊完 都帅玩起,0.7,speaker_A_dominant,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_001|pro_005,16000
controlled_route_sensitive_v2_0013,train,controlled_route_sensitive_v2_candidate_0013,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0013_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0013_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0013_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0013.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 你是怎么多出额外的时间来过自己的生活的",哪怕自己是刷抖音的自己,你是怎么多出额外的时间来过自己的生活的,0.15,speaker_A_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_002|pro_010,16000
controlled_route_sensitive_v2_0014,test,controlled_route_sensitive_v2_candidate_0014,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0014_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0014_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0014_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0014.json,"[SPEAKER_1] 我往这里再稍微解释一下
[SPEAKER_2] 我多了两个小时",我往这里再稍微解释一下,我多了两个小时,0.85,speaker_A_dominant,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_003|pro_015,16000
controlled_route_sensitive_v2_0015,train,controlled_route_sensitive_v2_candidate_0015,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0015_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0015_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0015_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0015.json,"[SPEAKER_1] 其实不落分也是一种
[SPEAKER_2] 既然你是晚睡晚起",其实不落分也是一种,既然你是晚睡晚起,0.55,speaker_B_dominant,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_004|pro_006,16000
controlled_route_sensitive_v2_0016,test,controlled_route_sensitive_v2_candidate_0016,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0016_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0016_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0016_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0016.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 我的意思是2点睡10点起",刚觉得晚睡晚起少夜,我的意思是2点睡10点起,0.9,speaker_B_dominant,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_005|pro_011,16000
controlled_route_sensitive_v2_0017,train,controlled_route_sensitive_v2_candidate_0017,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0017_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0017_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0017_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0017.json,"[SPEAKER_1] 晚睡早起也算好夜了
[SPEAKER_2] 你方式要,那它是怎么缓解我们的空虚的",晚睡早起也算好夜了,"你方式要,那它是怎么缓解我们的空虚的",0.0,speaker_B_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_006|pro_001,16000
controlled_route_sensitive_v2_0018,train,controlled_route_sensitive_v2_candidate_0018,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0018_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0018_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0018_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0018.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 上班的時間必定也晚",因为你可以早睡早起,上班的時間必定也晚,0.55,speaker_B_dominant,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_007|pro_007,16000
controlled_route_sensitive_v2_0019,dev,controlled_route_sensitive_v2_candidate_0019,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0019_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0019_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0019_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0019.json,"[SPEAKER_1] 因为你可以为了身体建立方式
[SPEAKER_2] 跟8点睡6点起午",因为你可以为了身体建立方式,跟8点睡6点起午,0.25,speaker_B_dominant,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_008|pro_012,16000
controlled_route_sensitive_v2_0020,train,controlled_route_sensitive_v2_candidate_0020,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0020_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0020.json,"[SPEAKER_1] 總睡晚睡
[SPEAKER_2] 没问题没问题 先不着急",總睡晚睡,没问题没问题 先不着急,0.3,speaker_B_dominant,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_009|pro_002,16000
controlled_route_sensitive_v2_0021,train,controlled_route_sensitive_v2_candidate_0021,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0021_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0021_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0021_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0021.json,"[SPEAKER_1] 哦不太一致我可以給你擠我
[SPEAKER_2] 你下班的時間必定也晚",哦不太一致我可以給你擠我,你下班的時間必定也晚,0.05,speaker_B_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_010|pro_008,16000
controlled_route_sensitive_v2_0022,test,controlled_route_sensitive_v2_candidate_0022,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0022_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0022_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0022_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0022.json,"[SPEAKER_1] 你没有多两个小时但是你自己的是不是多两个我可以给你解释
[SPEAKER_2] 我的个人可以支配的",你没有多两个小时但是你自己的是不是多两个我可以给你解释,我的个人可以支配的,0.65,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_011|pro_013,16000
controlled_route_sensitive_v2_0023,train,controlled_route_sensitive_v2_candidate_0023,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0023_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0023_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0023_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0023.json,"[SPEAKER_1] 他让你在那个时间段里拥有了自己
[SPEAKER_2] 因為有一個前提性的問題沒有討論",他让你在那个时间段里拥有了自己,因為有一個前提性的問題沒有討論,0.35,balanced,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_001|pro_003,16000
controlled_route_sensitive_v2_0024,train,controlled_route_sensitive_v2_candidate_0024,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0024_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0024_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0024_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0024.json,"[SPEAKER_1] 哪怕自己是刷抖音的自己
[SPEAKER_2] 那你个人的生活空间必定也就这么点",哪怕自己是刷抖音的自己,那你个人的生活空间必定也就这么点,0.5,balanced,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_002|pro_009,16000
controlled_route_sensitive_v2_0025,dev,controlled_route_sensitive_v2_candidate_0025,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0025_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0025_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0025_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0025.json,"[SPEAKER_1] 我往这里再稍微解释一下
[SPEAKER_2] 日常時間是一致的沒錯吧",我往这里再稍微解释一下,日常時間是一致的沒錯吧,0.1,balanced,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_003|pro_014,16000
controlled_route_sensitive_v2_0026,train,controlled_route_sensitive_v2_candidate_0026,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0026_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0026.json,"[SPEAKER_1] 其实不落分也是一种
[SPEAKER_2] 只在讲的熬夜所谓的熬夜就是晚睡晚起是吧",其实不落分也是一种,只在讲的熬夜所谓的熬夜就是晚睡晚起是吧,0.75,balanced,separated_win_anchor,separated,mixed_overlap_noisy_sources_clean,silver_plus_unverified,con_004|pro_004,16000
controlled_route_sensitive_v2_0027,train,controlled_route_sensitive_v2_candidate_0027,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0027_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0027_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0027_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0027.json,"[SPEAKER_1] 刚觉得晚睡晚起少夜
[SPEAKER_2] 你是怎么多出额外的时间来过自己的生活的",刚觉得晚睡晚起少夜,你是怎么多出额外的时间来过自己的生活的,0.45,balanced,cleaned_win_anchor,cleaned,separated_sources_repeat_tail_cleaned_can_suppress,silver_plus_unverified,con_005|pro_010,16000
controlled_route_sensitive_v2_0028,train,controlled_route_sensitive_v2_candidate_0028,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0028_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0028_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0028_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0028.json,"[SPEAKER_1] 晚睡早起也算好夜了
[SPEAKER_2] 我多了两个小时",晚睡早起也算好夜了,我多了两个小时,0.7,balanced,review_needed_anchor,review_needed,all_routes_stressed_review_needed,silver_plus_unverified,con_006|pro_015,16000
controlled_route_sensitive_v2_0029,test,controlled_route_sensitive_v2_candidate_0029,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0029_mixed.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0029_spk1.wav,resources/controlled_route_sensitive_v2/audio/controlled_route_sensitive_v2_0029_spk2.wav,resources/controlled_route_sensitive_v2/references/controlled_route_sensitive_v2_0029.json,"[SPEAKER_1] 因为你可以早睡早起
[SPEAKER_2] 好我先聊完 都帅玩起",因为你可以早睡早起,好我先聊完 都帅玩起,0.15,speaker_A_dominant,mixed_win_anchor,mixed,separated_sources_noisy_smeared,silver_plus_unverified,con_007|pro_005,16000
